id,category,issue,keywords,platform,description,do,dont,code_good,code_bad,severity
1,Single Select,2-5 mutually exclusive options,radio group small few options,All,Show all options at once for fast scanning and one-tap selection,Use radio group with visible labels,Use dropdown that hides options behind a click,"<fieldset><legend>Plan</legend><label><input type=radio name=plan value=free>Free</label><label><input type=radio name=plan value=pro>Pro</label></fieldset>",<select><option>Free</option><option>Pro</option></select>,High
2,Single Select,2-3 options high visual weight,segmented control toggle pills tabs,All,When options are peers and switch a view or mode use a segmented control,Use segmented control with clear active state,Use radio buttons for view switching or tabs,"<div role=radiogroup><button aria-pressed=true>Day</button><button aria-pressed=false>Week</button><button aria-pressed=false>Month</button></div>",<input type=radio> chain for tabs/views,Medium
3,Single Select,5-15 options known to user,dropdown select medium list,All,Use native select or custom dropdown — scannable without overwhelming the form,Use select element with clear label,Use 15 radios in a vertical stack,"<label>Country<select>...15 options...</select></label>",<input type=radio> × 15 vertical list,High
4,Single Select,15-50 options,combobox autocomplete filterable dropdown,All,Use a filterable combobox so the user can type to narrow options,Use combobox with typeahead and keyboard arrows,Use a plain dropdown requiring scroll through 50 items,"<Combobox options={countries} onFilter={...} />",<select> with 50 options,High
5,Single Select,50+ options or unknown set,autocomplete search typeahead,All,Use async autocomplete with debounced search and virtualized results,Use async combobox with 250ms debounce and show results on type,Force user to scroll a dropdown of hundreds of items,"<Autocomplete source={searchCities} minChars={2} virtualized />",<select> with 500+ options,Critical
6,Single Select,hierarchical or nested options,cascader tree select hierarchy,All,Use cascader or tree-select for parent-child relationships (category>subcategory),Use cascader that shows path (Electronics > Phones > Android),Flatten hierarchy into one giant flat list,<Cascader options={categoryTree} />,<select> with indented labels flattened,High
7,Multi Select,2-5 options,checkbox group,All,Show all checkboxes so user sees every option and can multi-tap fast,Use checkbox group inside a fieldset with legend,Use multi-select dropdown that hides choices,"<fieldset><legend>Interests</legend><label><input type=checkbox>Design</label>...</fieldset>",<select multiple> with 4 options,High
8,Multi Select,5-20 options,multi-select chips token input,All,Use multi-select dropdown that shows selected items as removable chips,Use searchable multi-select with chip display of selections,Use 20 stacked checkboxes or select multiple (shift-click is hidden UX),<MultiSelect values={tags} renderSelected=chips searchable />,<select multiple size=10> hidden shift-click behavior,High
9,Multi Select,20-100 options from known set,transfer list dual listbox shuttle,All,Use a transfer list (two panels: available / selected) so user can batch-move,Use transfer list with search on both panels for 20+ multi-selects,Use 100 checkboxes or multi-select where selection overflows viewport,<TransferList available={users} selected={assigned} searchable />,<input type=checkbox> × 100 scrolling list,High
10,Multi Select,free-form tags or keywords,tag input token chips,All,Use tag input where user types and presses Enter/comma to add chip,Use tag input with backspace to delete last chip and duplicate prevention,Use comma-separated text field with no visual chips,<TagInput value={tags} onAdd={...} separator=Enter,Comma />,<input type=text> expecting CSV,Medium
11,Boolean,on/off setting,toggle switch binary,All,Use a toggle switch when the result is immediate (settings / prefs),Use toggle switch with clear on/off visual state,Use a checkbox for instant-apply settings — looks like a form submit,<Switch checked={notifications} onChange={...} aria-label=Notifications />,<input type=checkbox> for a live setting,Medium
12,Boolean,opt-in within a form,checkbox agreement consent,All,Use a single checkbox when the user opts into something within a form submit,Use checkbox with a clear label describing the opt-in,Use toggle switch that looks like it applies instantly but doesn't,<label><input type=checkbox>I agree to Terms</label>,<Switch> for a terms-agreement,High
13,Numeric Input,bounded range with loose precision,slider range input,All,Use slider when approximate value is fine and range is bounded (volume price filter),Use slider with visible current value and min/max labels,Use slider for precise values like age birth year SSN,<input type=range min=0 max=100 value={50} /><output>50</output>,<input type=range> for age requiring 42 exactly,Medium
14,Numeric Input,precise value small range,stepper number input spinner,All,Use stepper with +/- buttons for quantities 1-20 or precise small numbers,Use stepper with clear increment and manual input fallback,Use slider for quantity in a cart (precision matters),<Stepper min=1 max=20 value={qty} />,<input type=range> for cart quantity,High
15,Numeric Input,dual bounded range,range slider dual thumb,All,Use dual-thumb slider for min/max filters (price range date range),Use dual-thumb slider with two labeled values,Use two separate sliders or text inputs when values are paired,<RangeSlider min=0 max=1000 value={[100,500]} />,Two <input type=range> unrelated,Medium
16,Numeric Input,precise value large range,number input with formatting,All,Use number input with formatting (commas currency) when precision matters,Use number input with inputmode=numeric and locale formatting,Use slider for salary income or bank balance,<input type=number inputmode=decimal step=0.01 />,<input type=range max=1000000> for salary,High
17,Rating,1-5 star-style rating,star rating,All,Use star rating (or thumbs) for simple satisfaction capture,Use star rating with keyboard arrow support and hover preview,Use radio group numbered 1-5 (slower to scan),<StarRating value={4} max=5 onChange={...} />,<input type=radio> × 5 numbered,Medium
18,Rating,survey likert scale,likert segmented scale,All,Use horizontal segmented scale (Strongly Disagree → Strongly Agree) with 5-7 points,Use segmented radio with endpoint labels visible,Use dropdown asking Likert position (hides the scale),<LikertScale points=5 endLabels=[Disagree,Agree] />,<select><option>Strongly Agree</option>...</select>,Medium
19,Rating,NPS 0-10,nps score numeric rating,All,Use 11-button numeric row 0-10 with color gradient from red to green,Use segmented row with all 11 options visible and anchor labels,Use slider or dropdown for NPS (breaks benchmark comparability),<NPSScale onChange={...} />,<input type=range min=0 max=10> for NPS,Medium
20,Date Input,single date near today,date picker calendar,All,Use calendar date picker with text input fallback,Use date picker with keyboard navigation and min/max constraints,Use three separate dropdowns for day/month/year,<DatePicker value={date} min={today} />,<select>day</select><select>month</select><select>year</select>,High
21,Date Input,birthday or far-past date,year-first date picker,All,Use date picker that lets user pick year first (avoid 100 clicks back),Use date picker with year dropdown and month dropdown in header,Use calendar requiring user to click back 30 years month by month,<DatePicker yearSelectable view=month />,<Calendar> requiring 360 prev clicks,High
22,Date Input,date range,date range picker dual calendar,All,Use date range picker with two-month calendar view,Use range picker with preset ranges (Last 7 days This month) and clear start/end,Use two independent date pickers unlinked,<DateRangePicker presets={[7d,30d,custom]} />,Two <DatePicker> with no cross-validation,High
23,Date Input,time only,time picker,All,Use time picker with 15-minute default steps or free input,Use time picker with AM/PM based on locale,Use two dropdowns for hour/minute stacked,<TimePicker step=15 />,<select>hour</select><select>minute</select>,Medium
24,Date Input,date + time,datetime picker,All,Use combined datetime picker or date picker with time slot grid,Use datetime picker with timezone if relevant,Use separate date and time inputs with no validation,<DateTimePicker timezone=user />,<input type=date> + <input type=time> uncoupled,High
25,File Upload,single file,file input with preview,All,Use file input with drag-and-drop zone and visible preview,Use dropzone that accepts click or drag and shows thumbnail/name,Use bare <input type=file> with no feedback,<FileUpload accept=image/* showPreview />,<input type=file>,Medium
26,File Upload,multiple files,dropzone drag drop multi upload,All,Use a dropzone that supports multiple files with per-file progress and remove,Use dropzone with per-file progress bar and error handling,Use <input type=file multiple> with no progress indication,<Dropzone multiple onProgress onRemove />,<input type=file multiple>,High
27,Color Input,pick a color,color picker swatch,All,Use swatch grid of brand-approved colors for common cases full picker only when needed,Use swatch picker with Custom option that opens full HSL picker,Show full color wheel for brand-color selection,<ColorPicker swatches={brandColors} allowCustom />,<input type=color> alone with no palette,Low
28,Text Input,short answer under 100 chars,text input single line,All,Use single-line text input for names emails short answers,Use text input with type hints (type=email inputmode=email),Use textarea for a single-line answer,<input type=email inputmode=email />,<textarea> for email address,Medium
29,Text Input,long-form content,textarea auto-resize,All,Use auto-resizing textarea for content that could span multiple paragraphs,Use textarea that grows with content up to max-height then scrolls,Use fixed-height tiny textarea forcing scroll for long input,<textarea autoResize maxRows=10 />,<input type=text> for a bio or description,Medium
30,Text Input,rich formatted content,rich text editor wysiwyg,All,Use rich text editor only when formatting (bold lists links) is required,Use minimal rich text editor with just needed formatting options,Use full Word-like editor when plain text or markdown works,<RichTextEditor toolbar=[bold,italic,link,list] />,Full WYSIWYG for a comment box,Medium
31,Text Input,search field,search input autocomplete,All,Use search input with debounced autocomplete and recent-search suggestions,Use search input type=search with clear button and suggestions dropdown,Use plain text input with no suggestions or feedback,<SearchInput onSearch={debounced(300)} recents />,<input type=text placeholder=Search>,Medium
32,Text Input,password,password input with reveal,All,Use password input with show/hide toggle and strength meter on creation,Use type=password with eye toggle and live strength feedback,Use masked input with no reveal option (users can't verify typos),<PasswordInput showStrength showToggle />,<input type=password> alone,High
33,Text Input,phone number,phone input country code,All,Use specialized phone input with country selector and format mask,Use intl-tel-input with flag and format per country,Use plain text field expecting any format,<PhoneInput defaultCountry=US />,<input type=tel placeholder=Phone>,Medium
34,Text Input,address,address autocomplete structured,All,Use address autocomplete (Google Places) that fills structured fields,Use places autocomplete then reveal editable line1/city/state/zip,Use one giant text field for full address,<AddressAutocomplete onSelect={fillFields} />,<textarea placeholder=Address>,Medium
35,Ordered Input,reorder list of items,drag to reorder sortable,All,Use drag-to-reorder with keyboard alternative (up/down buttons + announce),Use sortable list with drag handle and keyboard reorder fallback,Use index number dropdowns next to each item,<SortableList items={steps} keyboardReorder />,<select>Position 1-10</select> per row,Medium
36,Conditional Input,reveal fields based on prior answer,progressive disclosure conditional,All,Hide fields irrelevant to prior answers — show when needed,Use progressive disclosure: reveal follow-up fields only after trigger answer,Show all 40 fields upfront with most greyed out,{showShipping && <ShippingFields />},<fieldset disabled> for all irrelevant fields,Medium
37,Group Layout,many radios or checkboxes,grouped sections chunking,All,When a group has 7+ options group into labeled subsections (visual chunking),Split long checkbox lists into grouped fieldsets with subheadings,Present a wall of 50 ungrouped checkboxes,<fieldset><legend>Frontend</legend>...</fieldset><fieldset><legend>Backend</legend>...</fieldset>,<fieldset> with 50 flat checkboxes,Medium
38,Group Layout,optional fields in dense form,collapsible advanced options,All,Hide rarely-used fields behind a collapsible Advanced section,Use collapsed Advanced panel with clear disclosure indicator,Show 20 optional fields inline with required ones,<details><summary>Advanced</summary>...</details>,All optional fields visible equally,Low
39,Validation Pattern,inline errors,inline validation real time,All,Validate on blur or submit — never on every keystroke (premature and noisy),Show error below field on blur or submit with aria-describedby,Flash errors while user is still typing the first character,onBlur={validate} aria-invalid aria-describedby=err1,onChange={validateEveryKeystroke},High
40,Validation Pattern,required indicator,asterisk required field label,All,Mark required fields clearly with asterisk or (required) and aria-required,Use * next to label with a legend explaining * = required and aria-required=true,Mark optional fields instead (users assume all required by default is wrong too),<label>Email *<input aria-required=true /></label>,No visual indication of required,Medium
